dimension,seed,lambda_start_frac,lambda_block_cca,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
32,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_171921_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,49,best_val_zeta,0.389933,3.89933,0.4544508523411221,0.004321,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_171921_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.86312866210938,83.50332641601562,81.70427703857422,0.9031708836555481,0.870000958442688,0.8865859508514404,hidden,512,71.27998352050781,77.01842498779297,74.20570373535156,0.9228655695915222,0.8894084692001343,0.9061369895935059
32,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_172226_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,26,best_val_zeta,0.251007,2.51007,0.4437132610215081,0.009973,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_172226_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,84.01486206054688,85.0400161743164,84.52982330322266,0.8888755440711975,0.8622705340385437,0.8755730390548706,hidden,512,73.85912322998047,77.25180053710938,75.575439453125,0.9141172766685486,0.8863427042961121,0.9002299904823303
32,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_172531_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,37,best_val_zeta,0.317450,3.1745,0.4487889077928331,0.005990,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_172531_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.9798355102539,86.04730224609375,83.06986999511719,0.8989110589027405,0.8578349351882935,0.8783730268478394,hidden,512,70.56058502197266,75.74749755859375,73.20089721679688,0.9213195443153381,0.8898321390151978,0.9055758714675903
32,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_173104_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,38,best_val_zeta,0.323490,3.2349,0.39504507515165543,0.007891,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_173104_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.45899200439453,83.5073013305664,81.02328491210938,0.9019549489021301,0.871556282043457,0.8867555856704712,hidden,512,70.64958190917969,75.43714141845703,73.0834732055664,0.9205014109611511,0.8951823115348816,0.9078418612480164
32,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_173659_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,33,best_val_zeta,0.293289,2.9328900000000004,0.4667154782348209,0.010202,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d32_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_173659_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,81.18892669677734,84.78091430664062,83.00518798828125,0.8961460590362549,0.8635764718055725,0.8798612356185913,hidden,512,70.92058563232422,75.51688385009766,73.25559997558594,0.920754611492157,0.8917616605758667,0.9062581062316895
64,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_174243_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,46,best_val_zeta,0.371812,3.71812,0.49090079466501874,0.016718,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_174243_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.26922607421875,82.67501831054688,80.99080657958984,0.9046056866645813,0.8725671768188477,0.8885864019393921,hidden,512,70.25597381591797,76.00801086425781,73.18951416015625,0.9250658750534058,0.8922911882400513,0.9086785316467285
64,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_174621_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,86,best_val_zeta,0.613423,6.1342300000000005,0.5136568976773156,0.008639,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_174621_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.02965545654297,80.3271713256836,79.18732452392578,0.9041445255279541,0.8771132230758667,0.8906288743019104,hidden,512,72.37387084960938,73.78707122802734,73.08464050292969,0.9175366163253784,0.8963090777397156,0.9069228172302246
64,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_175153_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,93,best_val_zeta,0.655705,6.55705,0.49501921402083504,0.008439,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_175153_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.63665771484375,79.59679412841797,76.6754379272461,0.9143098592758179,0.8783507347106934,0.8963302969932556,hidden,512,68.47599029541016,73.9247055053711,71.25326538085938,0.9258998036384583,0.8950705528259277,0.9104851484298706
64,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_175758_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,97,best_val_zeta,0.679866,6.79866,0.48758287231127423,0.006639,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_175758_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.08173370361328,81.10095977783203,77.67144012451172,0.9125897288322449,0.8788520693778992,0.895720899105072,hidden,512,67.05494689941406,74.55068969726562,70.90287017822266,0.9283853769302368,0.8976312279701233,0.9130083322525024
64,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_180358_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,78,best_val_zeta,0.565101,5.651009999999999,0.4670661555396186,0.009625,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep/logs/d64_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260728_180358_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,80.43376159667969,83.64054107666016,82.05351257324219,0.8980690240859985,0.8672218322753906,0.8826454281806946,hidden,512,71.4589614868164,75.50215911865234,73.5092544555664,0.919546902179718,0.8918038606643677,0.9056754112243652
